,Theta,T,u / c
525,0.09701701872915419,5.267117117117118,0.9203313151349927
526,0.09683344951700787,5.277102102102102,0.9204594548862427
527,0.0966505736680677,5.287087087087087,0.9205871762398037
528,0.09646838726136314,5.297072072072073,0.9207144812639666
529,0.09628688640543216,5.307057057057057,0.9208413720133011
530,0.09610606723804413,5.317042042042043,0.9209678505287683
531,0.09592592592592593,5.327027027027027,0.9210939188378362
532,0.09574645866449098,5.337012012012012,0.9212195789545894
533,0.09556766167757154,5.346996996996997,0.9213448328798423
534,0.09538953121715367,5.356981981981982,0.9214696826012472
535,0.09521206356311548,5.3669669669669675,0.9215941300934025
536,0.09503525502296813,5.376951951951952,0.9217181773179639
537,0.09485910193159963,5.386936936936937,0.921841826223747
538,0.09468360065102174,5.396921921921922,0.9219650787468352
539,0.09450874757011941,5.406906906906907,0.9220879368106835
540,0.09433453910440313,5.4168918918918925,0.9222104023262215
541,0.09416097169576405,5.426876876876877,0.9223324771919563
542,0.0939880418122316,5.436861861861862,0.9224541632940745
543,0.09381574594773404,5.446846846846847,0.9225754625065418
544,0.09364408062186146,5.456831831831832,0.9226963766912026
545,0.0934730423796314,5.466816816816817,0.9228169076978787
546,0.09330262779125714,5.476801801801802,0.9229370573644667
547,0.09313283345191833,5.486786786786787,0.9230568275170352
548,0.09296365598153435,5.496771771771772,0.9231762199699184
549,0.09279509202453988,5.506756756756757,0.9232952365258131
550,0.09262713824966318,5.516741741741742,0.923413878975872
551,0.09245979134970658,5.526726726726727,0.9235321490997949
552,0.09229304804132937,5.536711711711712,0.9236500486659228
553,0.09212690506483312,5.546696696696697,0.9237675794313278
554,0.0919613591839492,5.556681681681682,0.9238847431419034
555,0.09179640718562873,5.566666666666667,0.9240015415324536
556,0.09163204587983469,5.576651651651652,0.9241179763267826
557,0.09146827209933614,5.586636636636637,0.9242340492377806
558,0.09130508269950502,5.596621621621622,0.9243497619675122
559,0.09114247455811463,5.606606606606607,0.9244651162073009
560,0.09098044457514069,5.616591591591591,0.9245801136378157
561,0.09081898967256424,5.626576576576577,0.9246947559291538
562,0.0906581067941768,5.636561561561562,0.9248090447409254
563,0.09049779290538744,5.6465465465465465,0.9249229817223362
564,0.09033804499303205,5.656531531531532,0.9250365685122681
565,0.09017886006518457,5.666516516516516,0.9251498067393625
566,0.0900202351509701,5.676501501501502,0.9252626980220986
567,0.08986216730038023,5.686486486486487,0.9253752439688744
568,0.08970465358409004,5.6964714714714715,0.9254874461780848
569,0.08954769109327719,5.706456456456457,0.9255993062381995
570,0.08939127693944289,5.716441441441441,0.925710825727842
571,0.08923540825423462,5.726426426426427,0.9258220062158646
572,0.0890800821892709,5.736411411411412,0.9259328492614245
573,0.0889252959159677,5.746396396396396,0.9260433564140593
574,0.0887710466253668,5.756381381381382,0.9261535292137627
575,0.08861733152796585,5.766366366366366,0.9262633691910555
576,0.08846414785355013,5.776351351351352,0.9263728778670625
577,0.08831149285102628,5.786336336336337,0.9264820567535813
578,0.08815936378825755,5.796321321321321,0.926590907353157
579,0.08800775795190069,5.806306306306307,0.9266994311591514
580,0.08785667264724485,5.816291291291291,0.9268076296558138
581,0.08770610519805169,5.8262762762762765,0.9269155043183515
582,0.08755605294639755,5.836261261261262,0.9270230566129992
583,0.08740651325251696,5.846246246246246,0.9271302879970863
584,0.08725748349464778,5.856231231231232,0.9272371999191059
585,0.08710896106887814,5.866216216216216,0.9273437938187812
586,0.08696094338899464,5.8762012012012015,0.9274500711271324
587,0.08681342788633233,5.886186186186187,0.9275560332665438
588,0.08666641200962603,5.896171171171171,0.9276616816508282
589,0.08651989322486335,5.906156156156157,0.9277670176852908
590,0.08637386901513902,5.916141141141141,0.9278720427667971
591,0.08622833688051079,5.926126126126126,0.9279767582838306
592,0.0860832943378568,5.936111111111112,0.9280811656165633
593,0.08593873892073432,5.946096096096096,0.928185266136911
594,0.08579466817923993,5.956081081081082,0.9282890612086003
595,0.08565107967987115,5.966066066066066,0.9283925521872286
596,0.08550797100538937,5.976051051051051,0.9284957404203229
597,0.08536533975468433,5.986036036036036,0.928598627247404
598,0.08522318354263964,5.996021021021021,0.9287012140000425
599,0.08508149999999999,6.0060060060060065,0.9288035020019199
600,0.08494028677323949,6.015990990990991,0.9289054925688873
601,0.08479954152443127,6.025975975975976,0.9290071870090235
602,0.08465926193111856,6.035960960960961,0.9291085866226914
603,0.08451944568618686,6.045945945945946,0.9292096927025971
604,0.08438009049773755,6.0559309309309315,0.9293105065338453
605,0.08424119408896259,6.065915915915916,0.9294110293939951
606,0.08410275419802053,6.075900900900901,0.9295112625531167
607,0.08396476857791375,6.085885885885886,0.9296112072738459
608,0.08382723499636686,6.095870870870871,0.9297108648114389
609,0.08369015123570638,6.105855855855856,0.9298102364138259
610,0.08355351509274149,6.115840840840841,0.9299093233216655
611,0.083417324378646,6.125825825825826,0.9300081267683976
612,0.08328157691884154,6.135810810810811,0.9301066479802969
